id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,price_per_booking,availability_bucket
2595,Skylit Studio Oasis | Midtown Manhattan Sanctuary,2845,Jennifer,Manhattan,Midtown,40.75356,-73.98559,Entire home/apt,240.0,30,47,2022-06-21,0.24,3,289,0,,8.0,Part_time
6848,Only 2 stops to Manhattan studio,15991,Allen,Brooklyn,Williamsburg,40.70935,-73.95342,Entire home/apt,96.0,30,195,2025-06-09,0.98,1,285,3,,3.2,Part_time
6872,Uptown Sanctuary w/ Private Bath (Month to Month),16104,Kahshanna,Manhattan,East Harlem,40.80107,-73.94255,Private room,59.0,30,1,2022-06-05,0.02,2,83,0,,1.97,Rare 
6990,UES Beautiful Blue Room,16800,Cynthia,Manhattan,East Harlem,40.78778,-73.94759,Private room,73.0,30,249,2025-05-27,1.28,1,186,4,,2.43,Part_time
8490,"Maison des Sirenes1,bohemian, luminous apartment",25183,Nathalie,Brooklyn,Bedford-Stuyvesant,40.68455584344908,-73.93963415175676,Entire home/apt,170.0,30,189,2023-10-16,0.96,2,275,0,,5.67,Part_time
9357,Midtown Pied-a-terre,30193,Tommi Laurelle,Manhattan,Hell's Kitchen,40.76724,-73.98664,Entire home/apt,175.0,30,58,2017-08-13,0.3,1,71,0,,5.83,Rare 
10452,Radiant Oasis  B&B Style room,35935,Angela,Brooklyn,Bedford-Stuyvesant,40.68294,-73.95682,Private room,90.0,30,82,2025-03-31,0.44,6,244,1,,3.0,Part_time
12937,"1 Stop to Midtown! Private Bedroom, Landmark House",50124,Orestes,Queens,Long Island City,40.74757,-73.94571,Private room,232.0,2,456,2025-09-26,2.45,1,203,37,OSE-STRREG-0000923,116.0,Part_time
12940,Charming Brownstone 3 - Near PRATT,50148,Adreinne,Brooklyn,Bedford-Stuyvesant,40.67946,-73.95417,Entire home/apt,151.0,30,80,2025-05-31,0.42,1,286,4,,5.03,Part_time
14314,Greenpoint Place...Has It All!,56246,Jeanne,Brooklyn,Greenpoint,40.73535,-73.95584,Entire home/apt,115.0,30,176,2024-09-30,0.91,1,300,0,,3.83,Part_time
16338,Large Room - Deck Access in Clinton Hill Best Area,63613,Patricia,Brooklyn,Clinton Hill,40.69121,-73.96804,Private room,57.0,30,32,2023-12-22,0.17,1,335,0,,1.9,Full-time
16580,"Sunny, Modern room in East Village w City Views",64442,Reka,Manhattan,East Village,40.72372723229208,-73.97625850509617,Private room,227.0,2,658,2025-09-04,4.46,2,226,63,OSE-STRREG-0000108,113.5,Part_time
16821,Charming Room in Amazing East Village Apt. (B),4396,Casey,Manhattan,East Village,40.72281,-73.98501,Private room,202.0,1,281,2025-09-29,1.76,2,28,57,OSE-STRREG-0001710,202.0,Rare 
18152,Manhattan Room,69942,Victoria,Manhattan,Upper East Side,40.76967,-73.94831,Private room,576.0,30,146,2019-09-01,0.85,1,365,0,,19.2,Full-time
18728,Beautiful Meatpacking District Loft,71876,DAVID And RICK,Manhattan,Chelsea,40.74261,-74.00353,Private room,151.0,30,251,2025-08-24,1.42,1,353,3,,5.03,Full-time
19174,One bedroom Duplex Private Terrace West Village,73164,Alexis,Manhattan,West Village,40.73917,-74.00207,Entire home/apt,200.0,90,68,2024-12-27,0.36,1,290,1,,2.22,Part_time
19812,2 bedroom Williamsburg Apt - Bedford L stop,74857,Starlee,Brooklyn,Williamsburg,40.71802,-73.95724,Entire home/apt,95.0,30,58,2018-07-29,0.31,1,306,0,,3.17,Full-time
21456,Light-filled classic Central Park,42032,Dana,Manhattan,Upper West Side,40.79936,-73.96155,Private room,112.0,30,79,2021-09-12,0.42,1,286,0,,3.73,Part_time
21794,COZY QUIET monthly room 4 DOOGLERS!,83257,Olan,Manhattan,Chelsea,40.74187,-74.00223,Private room,85.0,30,36,2020-01-19,0.19,2,364,0,,2.83,Full-time
23545,Upper Upper West Side Garden Apartment Townhouse,92411,Karen,Manhattan,Harlem,40.82825,-73.95138,Entire home/apt,200.0,30,214,2019-06-17,1.13,1,358,0,,6.67,Full-time
24285,Beautiful 3 bedroom & 3 bathroom Duplex Apartment,97797,Brandon,Brooklyn,Park Slope,40.67115,-73.98026,Entire home/apt,201.0,30,93,2024-10-29,0.5,1,360,1,,6.7,Full-time
26785,Park Slope Green Guest House,42273,Dani,Brooklyn,South Slope,40.6686,-73.98723,Entire home/apt,90.0,30,479,2025-09-20,2.57,3,93,1,,3.0,Rare 
29013,Cozy Gorgeous Room,35935,Angela,Brooklyn,Bedford-Stuyvesant,40.68288,-73.95646,Private room,90.0,30,78,2025-09-03,0.42,6,282,4,,3.0,Part_time
29628,"Comfortable, Sunny Room",127608,Christopher,Brooklyn,Clinton Hill,40.68292,-73.96381,Private room,149.0,3,490,2025-09-28,2.63,1,299,53,OSE-STRREG-0000041,49.67,Part_time
31130,Entire apartment _Most central location!,117287,Lara Nicole,Manhattan,Hell's Kitchen,40.7672,-73.98464,Entire home/apt,170.0,30,75,2024-01-07,0.4,4,335,0,,5.67,Full-time
31994,Room with En Suite Bathroom & Deck,137814,Waldemar,Brooklyn,Clinton Hill,40.68818,-73.96383,Private room,122.0,2,621,2025-09-23,3.35,2,253,33,OSE-STRREG-0000832,61.0,Part_time
38663,Luxury Brownstone in Boerum Hill,165789,Sarah,Brooklyn,Boerum Hill,40.68442,-73.98068,Private room,765.0,3,43,2023-08-30,0.27,1,364,0,OSE-STRREG-0001784,255.0,Full-time
39282,“Work-from-home” from OUR home.,168525,Gustavo,Brooklyn,Williamsburg,40.71065139770508,-73.95087432861328,Private room,147.0,4,284,2025-09-12,1.54,2,25,16,OSE-STRREG-0001150,36.75,Rare 
42300,Beautiful Lower East Side Loft,184755,Koray,Manhattan,Lower East Side,40.71992,-73.99167,Entire home/apt,563.0,30,70,2024-08-31,0.38,1,185,0,,18.77,Part_time
42729,@HouseOnHenrySt - Private 2nd bedroom w/shared use,11481,Annette,Brooklyn,Carroll Gardens,40.67813,-74.00062,Private room,254.0,30,219,2023-11-02,1.2,4,364,0,,8.47,Full-time
